"","index","Job Title","Salary Estimate","Rating","Company Name","City","State","Metro Area","Industry","Sector","Lower Salary","Upper Salary","Avg Salary(K)","cost.of.living"
"581",740,"Associate, Data Science, Internal Audit","$43K-$82K (Glassdoor est.)",3.1,"Santander
3.1","Boston","MA","Boston","Banks & Credit Unions","Finance",43,82,62.5,132.6
"582",741,"Scientist – Cancer Discovery, Molecular Assay","Employer Provided Salary:$100K-$135K",-1,"Monte Rosa Therapeutics","Cambridge","MA","Boston","-1","-1",100,135,117.5,132.6
"583",742,"Senior LiDAR Data Scientist","$93K-$151K (Glassdoor est.)",3.9,"Luminar Technologies
3.9","Orlando","FL","Orlando","Computer Hardware & Software","Information Technology",93,151,122,101.4
"584",743,"Data Engineer","$61K-$109K (Glassdoor est.)",4.4,"BRMi
4.4","Chantilly","VA","Washington","IT Services","Information Technology",61,109,85,120.1
"585",744,"Data Engineer","$42K-$79K (Glassdoor est.)",3.4,"IntraEdge
3.4","Scottsdale","AZ","Phoenix","IT Services","Information Technology",42,79,60.5,104.3
"586",745,"Lead Data Scientist","$139K-$221K (Glassdoor est.)",3.9,"Zest AI
3.9","Burbank","CA","Los Angeles","Financial Analytics & Research","Finance",139,221,180,140.6
"587",746,"Technology-Minded, Data Professional Opportunities","$40K-$101K (Glassdoor est.)",4.7,"Veterans United Home Loans
4.7","Columbia","MO","Columbia, MO","Lending","Finance",40,101,70.5,89.8
"588",747,"Big Data Engineer","$84K-$153K (Glassdoor est.)",3.3,"Peraton
3.3","Chantilly","VA","Washington","Aerospace & Defense","Aerospace & Defense",84,153,118.5,120.1
"589",748,"Salesforce Analytics Consultant","$52K-$81K (Glassdoor est.)",3.9,"Emtec, Inc.
3.9","Chicago","IL","Chicago","Enterprise Software & Network Solutions","Information Technology",52,81,66.5,100.1
"590",749,"Managing Data Scientist/ML Engineer","$81K-$134K (Glassdoor est.)",3.4,"PA Consulting
3.4","Boston","MA","Boston","Consulting","Business Services",81,134,107.5,132.6
"591",750,"Senior Data Engineer","$97K-$180K (Glassdoor est.)",4.7,"Praetorian
4.7","Austin","TX","Austin","Security Services","Business Services",97,180,138.5,106.6
"592",751,"Staff Scientist- Upstream PD","$49K-$113K (Glassdoor est.)",2.7,"Advanced BioScience Laboratories
2.7","Rockville","MD","Washington","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",49,113,81,120.1
"593",752,"Data Engineering Analyst","$44K-$73K (Glassdoor est.)",3.8,"COUNTRY Financial
3.8","Bloomington","IL","Bloomington, IL","Insurance Carriers","Insurance",44,73,58.5,89
"594",753,"Sr. Data Engineer","$75K-$140K (Glassdoor est.)",3.4,"Echo Global Logistics
3.4","Chicago","IL","Chicago","Transportation Management","Transportation & Logistics",75,140,107.5,100.1
"595",754,"Scientist, Pharmacometrics","$84K-$157K (Glassdoor est.)",3.8,"Agios Pharmaceuticals
3.8","Cambridge","MA","Boston","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",84,157,120.5,132.6
"596",755,"Manager of Data Science","$40K-$87K (Glassdoor est.)",3.9,"Tapjoy
3.9","San Francisco","CA","San Francisco","Internet","Information Technology",40,87,63.5,178.6
"597",756,"Scientist Manufacturing Pharma - Kentucky BioProcessing","$68K-$139K (Glassdoor est.)",3.1,"Reynolds American
3.1","Owensboro","KY","Owensboro","Consumer Products Manufacturing","Manufacturing",68,139,103.5,86.6
"598",757,"Software Engineer (Data Scientist/Software Engineer) - SISW - MG","$72K-$142K (Glassdoor est.)",4.1,"Mentor Graphics
4.1","Fremont","CA","San Jose","Computer Hardware & Software","Information Technology",72,142,107,173.5
"599",758,"Data Engineer","$74K-$137K (Glassdoor est.)",3.7,"Maxar Technologies
3.7","Springfield","VA","Washington","Aerospace & Defense","Aerospace & Defense",74,137,105.5,120.1
"600",759,"Data Engineer","$57K-$109K (Glassdoor est.)",2.8,"ICW Group
2.8","San Diego","CA","San Diego","Insurance Carriers","Insurance",57,109,83,136.2
"601",761,"Lead Big Data Engineer","$121K-$203K (Glassdoor est.)",4,"Glassdoor
4.0","San Francisco","CA","San Francisco","Internet","Information Technology",121,203,162,178.6
"602",763,"Product Engineer – Spatial Data Science and Statistical Analysis","$52K-$85K (Glassdoor est.)",3.5,"Esri
3.5","Redlands","CA","Riverside","Computer Hardware & Software","Information Technology",52,85,68.5,116.1
"603",766,"Sr Software Engineer (Data Scientist)","$81K-$140K (Glassdoor est.)",3.4,"Assurant
3.4","Westlake","OH","Cleveland, OH","Insurance Carriers","Insurance",81,140,110.5,90
"604",767,"Sr. Data Engineer (ETL Developer)","$83K-$148K (Glassdoor est.)",3.7,"F&G
3.7","Des Moines","IA","Des Moines","Insurance Carriers","Insurance",83,148,115.5,91.7
"605",768,"Associate Research Scientist I (Protein Expression and Production)","$59K-$116K (Glassdoor est.)",3,"Exelixis
3.0","Alameda","CA","San Francisco","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",59,116,87.5,178.6
"606",769,"Senior Data Scientist Artificial Intelligence","$60K-$101K (Glassdoor est.)",3.8,"PNNL
3.8","Richland","WA","Kennewick","Energy","Oil, Gas, Energy & Utilities",60,101,80.5,99.7
"607",773,"Analytics - Business Assurance Data Analyst","$31K-$55K (Glassdoor est.)",4.6,"GreatAmerica Financial Services
4.6","Cedar Rapids","IA","Cedar Rapids","Lending","Finance",31,55,43,88.1
"608",776,"Associate Director/Director, Safety Scientist","$102K-$178K (Glassdoor est.)",4.4,"Acceleron Pharma
4.4","Cambridge","MA","Boston","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",102,178,140,132.6
"609",777,"Director, Precision Medicine Clinical Biomarker Scientist","$136K-$208K (Glassdoor est.)",4,"Pfizer
4.0","Cambridge","MA","Boston","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",136,208,172,132.6
"610",778,"Senior Scientist, Cell Pharmacology/Assay Development","Employer Provided Salary:$110K-$130K",-1,"Kronos Bio","Cambridge","MA","Boston","-1","-1",110,130,120,132.6
"611",779,"Data Analyst Senior","$48K-$85K (Glassdoor est.)",3,"AmeriHealth Caritas
3.0","Philadelphia","PA","Philadelphia","Insurance Carriers","Insurance",48,85,66.5,103.4
"612",780,"Senior Formulations Scientist II","$71K-$129K (Glassdoor est.)",3,"Exelixis
3.0","Alameda","CA","San Francisco","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",71,129,100,178.6
"613",781,"Lead Data Engineer (Python)","$66K-$123K (Glassdoor est.)",4.7,"Strategic Employment Partners
4.7","San Francisco","CA","San Francisco","Staffing & Outsourcing","Business Services",66,123,94.5,178.6
"614",782,"Data Science Manager","$171K-$272K (Glassdoor est.)",4.2,"Grand Rounds
4.2","San Francisco","CA","San Francisco","Health Care Services & Hospitals","Health Care",171,272,221.5,178.6
"615",783,"Senior Data Scientist 4 Artificial Intelligence","$92K-$146K (Glassdoor est.)",3.8,"PNNL
3.8","Seattle","WA","Seattle","Energy","Oil, Gas, Energy & Utilities",92,146,119,124.6
"616",784,"Data Engineer","$65K-$126K (Glassdoor est.)",3.5,"SPINS, LLC
3.5","Chicago","IL","Chicago","Consulting","Business Services",65,126,95.5,100.1
"617",785,"Director II, Data Science - GRS Predictive Analytics","$150K-$239K (Glassdoor est.)",3.3,"Liberty Mutual Insurance
3.3","Chicago","IL","Chicago","Insurance Carriers","Insurance",150,239,194.5,100.1
"618",786,"Medical Lab Scientist - MLT","$21-$29 Per Hour(Glassdoor est.)",3.2,"Catholic Health Initiatives
3.2","Omaha","NE","Omaha","Health Care Services & Hospitals","Health Care",43,60,51.5,92.9
"619",787,"Senior Operations Data Analyst, Call Center Operations","$10-$17 Per Hour(Glassdoor est.)",2.7,"FLEETCOR
2.7","Nashville","TN","Nashville","Financial Transaction Processing","Finance",20,35,27.5,100.1
"620",788,"Senior Quantitative Analyst","$118K-$228K (Glassdoor est.)",3.3,"DTCC
3.3","Jersey City","NJ","New York","Brokerage Services","Finance",118,228,173,128
"621",789,"Geospatial Software Developer and Data Scientist","$82K-$129K(Employer est.)",3.7,"Applied Research Laboratories
3.7","Austin","TX","Austin","Colleges & Universities","Education",82,129,105.5,106.6
"622",790,"RESEARCH COMPUTER SCIENTIST - RESEARCH ENGINEER - SR. COMPUTER SCIENTIST - SOFTWARE DEVELOPMENT","$52K-$91K (Glassdoor est.)",3.9,"Southwest Research Institute
3.9","San Antonio","TX","San Antonio","Research & Development","Business Services",52,91,71.5,92.7
"623",791,"Senior Scientist - Toxicologist - Product Integrity (Stewardship)","$47K-$101K (Glassdoor est.)",3.1,"Reynolds American
3.1","Winston-Salem","NC","Winston-Salem","Consumer Products Manufacturing","Manufacturing",47,101,74,91.2
"624",794,"Systems Engineer II - Data Analyst","$49K-$76K (Glassdoor est.)",3.7,"Raytheon
3.7","Huntsville","AL","Huntsville, AL","Aerospace & Defense","Aerospace & Defense",49,76,62.5,91.3
"625",795,"Senior Research Analytical Scientist-Non-Targeted Analysis","$43K-$88K (Glassdoor est.)",4.3,"RTI International
4.3","Durham","NC","Durham","Research & Development","Business Services",43,88,65.5,99.8
"626",797,"Data Scientist","$61K-$109K (Glassdoor est.)",3.8,"DICK'S Sporting Goods - Corporate
3.8","Coraopolis","PA","Pittsburgh","Sporting Goods Stores","Retail",61,109,85,93.1
"627",799,"Principal Data Scientist","$113K-$182K (Glassdoor est.)",3.9,"AstraZeneca
3.9","Gaithersburg","MD","Washington","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",113,182,147.5,120.1
"628",802,"Director Data Science","$124K-$199K (Glassdoor est.)",3.6,"TRANZACT
3.6","Fort Lee","NJ","New York","Advertising & Marketing","Business Services",124,199,161.5,128
"629",803,"Data Engineer","$58K-$104K (Glassdoor est.)",3.7,"Carilion Clinic
3.7","Roanoke","VA","Roanoke","Health Care Services & Hospitals","Health Care",58,104,81,94.1
"630",804,"Sr Data Analyst - IT","$52K-$93K (Glassdoor est.)",2.1,"United BioSource
2.1","Blue Bell","PA","Philadelphia","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",52,93,72.5,103.4
"631",806,"Senior Data Engineer","$97K-$181K (Glassdoor est.)",3.9,"Figure Eight
3.9","San Francisco","CA","San Francisco","Computer Hardware & Software","Information Technology",97,181,139,178.6
"632",807,"Senior Data Engineer","$100K-$173K (Glassdoor est.)",3.9,"Tapjoy
3.9","San Francisco","CA","San Francisco","Internet","Information Technology",100,173,136.5,178.6
"633",808,"Sr. Data Analyst","$58K-$108K (Glassdoor est.)",3.2,"DoubleVerify
3.2","New York","NY","New York","Internet","Information Technology",58,108,83,128
"634",809,"Research Scientist or Senior Research Scientist - Computer Vision","$81K-$161K (Glassdoor est.)",4.6,"Mitsubishi Electric Research Labs
4.6","Cambridge","MA","Boston","Research & Development","Business Services",81,161,121,132.6
"635",810,"Associate Machine Learning Engineer / Data Scientist May 2020 Undergrad","$53K-$96K (Glassdoor est.)",3.8,"Fareportal
3.8","New York","NY","New York","Travel Agencies","Travel & Tourism",53,96,74.5,128
"636",811,"Data Analyst Chemist - Quality System Contractor","$61K-$110K (Glassdoor est.)",2.2,"Rodan and Fields, LLC
2.2","San Francisco","CA","San Francisco","Beauty & Personal Accessories Stores","Retail",61,110,85.5,178.6
"637",812,"Senior Scientist - Biostatistician","$65K-$96K (Glassdoor est.)",3.1,"Reynolds American
3.1","Winston-Salem","NC","Winston-Salem","Consumer Products Manufacturing","Manufacturing",65,96,80.5,91.2
"638",815,"Research Scientist / Principal Research Scientist - Multiphysical Systems","$115K-$220K (Glassdoor est.)",4.6,"Mitsubishi Electric Research Labs
4.6","Cambridge","MA","Boston","Research & Development","Business Services",115,220,167.5,132.6
"639",816,"Research Scientist, Machine Learning Department","$71K-$144K (Glassdoor est.)",2.6,"Software Engineering Institute
2.6","Pittsburgh","PA","Pittsburgh","Colleges & Universities","Education",71,144,107.5,93.1
"640",817,"Foundational Community Supports Data Analyst","$32K-$57K (Glassdoor est.)",3.4,"DESC
3.4","Seattle","WA","Seattle","Social Assistance","Non-Profit",32,57,44.5,124.6
"641",818,"Senior Health Data Analyst, Star Ratings","$79K-$136K (Glassdoor est.)",3.3,"Johns Hopkins Health Care
3.3","Glen Burnie","MD","Baltimore","Health Care Services & Hospitals","Health Care",79,136,107.5,107
"642",819,"Principal Research Scientist/Team Lead, Medicinal Chemistry - Oncology","Employer Provided Salary:$120K-$145K",-1,"Kronos Bio","Cambridge","MA","Boston","-1","-1",120,145,132.5,132.6
"643",820,"Sr. Data Analyst","$50K-$89K (Glassdoor est.)",3.7,"Community Behavioral Health
3.7","Philadelphia","PA","Philadelphia","Health Care Services & Hospitals","Health Care",50,89,69.5,103.4
"644",821,"Senior Engineer, Data Management Engineering","$68K-$129K (Glassdoor est.)",3.5,"Western Digital
3.5","Milpitas","CA","San Jose","Computer Hardware & Software","Information Technology",68,129,98.5,173.5
"645",822,"Quality Control Scientist III- Analytical Development","$48K-$113K (Glassdoor est.)",2.7,"Advanced BioScience Laboratories
2.7","Rockville","MD","Washington","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",48,113,80.5,120.1
"646",823,"Clinical Scientist, Clinical Development","$27-$47 Per Hour(Glassdoor est.)",3.8,"FORMA THERAPEUTICS
3.8","Watertown","MA","Boston","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",56,97,76.5,132.6
"647",824,"Software Engineer Staff Scientist: Human Language Technologies","$74K-$124K (Glassdoor est.)",3.7,"Raytheon
3.7","Cambridge","MD","Boston","Aerospace & Defense","Aerospace & Defense",74,124,99,132.6
"648",825,"Manager, Safety Scientist, Medical Safety & Risk Management","$68K-$125K (Glassdoor est.)",3.8,"Agios Pharmaceuticals
3.8","Cambridge","MA","Boston","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",68,125,96.5,132.6
"649",826,"Assistant Director/Director, Office of Data Science","$39K-$67K (Glassdoor est.)",3.3,"Liberty Mutual Insurance
3.3","Boston","MA","Boston","Insurance Carriers","Insurance",39,67,53,132.6
"650",827,"Sr. Data Engineer | Big Data SaaS Pipeline","$71K-$135K (Glassdoor est.)",2.7,"Bridg
2.7","Los Angeles","CA","Los Angeles","Enterprise Software & Network Solutions","Information Technology",71,135,103,140.6
"651",828,"Senior Risk Data Scientist","$107K-$172K (Glassdoor est.)",3.8,"Bill.com
3.8","Palo Alto","CA","San Francisco","Financial Transaction Processing","Finance",107,172,139.5,178.6
"652",829,"Data Scientist in Artificial Intelligence Early Career","$49K-$85K (Glassdoor est.)",3.8,"Pacific Northwest National Laboratory
3.8","Richland","WA","Kennewick","Energy","Oil, Gas, Energy & Utilities",49,85,67,99.7
"653",830,"Consultant - Analytics Consulting","$54K-$71K (Glassdoor est.)",3,"Infosys
3.0","Hartford","CT","Hartford","IT Services","Information Technology",54,71,62.5,104.8
"654",831,"Scientist - CVRM Metabolism - in vivo pharmacology","$61K-$123K (Glassdoor est.)",3.9,"AstraZeneca
3.9","Gaithersburg","MD","Washington","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",61,123,92,120.1
"655",832,"Data Analyst","$47K-$85K (Glassdoor est.)",3.6,"AXION Healthcare Solutions
3.6","New York","NY","New York","Health Care Services & Hospitals","Health Care",47,85,66,128
"656",836,"Data Engineer","$65K-$124K (Glassdoor est.)",3.5,"Alignment Healthcare
3.5","Orange","CA","Los Angeles","Health Care Services & Hospitals","Health Care",65,124,94.5,140.6
"657",837,"Data Scientist","$87K-$141K (Glassdoor est.)",3.6,"TRANZACT
3.6","Fort Lee","NJ","New York","Advertising & Marketing","Business Services",87,141,114,128
"658",838,"Data Scientist","$56K-$95K (Glassdoor est.)",4.2,"ExecOnline
4.2","New York","NY","New York","Education Training Services","Education",56,95,75.5,128
"659",839,"Data Scientist","$71K-$121K (Glassdoor est.)",3.5,"Charter Spectrum
3.5","Maryland Heights","MO","St. Louis","K-12 Education","Education",71,121,96,89.6
"660",840,"Machine Learning Engineer","$62K-$112K (Glassdoor est.)",4,"Mteq
4.0","Fort Belvoir","VA","Washington","Aerospace & Defense","Aerospace & Defense",62,112,87,120.1
"661",841,"Data Scientist","$64K-$108K (Glassdoor est.)",3.7,"Brillient
3.7","Silver Spring","MD","Washington","IT Services","Information Technology",64,108,86,120.1
"662",845,"Senior Data Scientist","$89K-$144K (Glassdoor est.)",4.4,"Entefy
4.4","Palo Alto","CA","San Francisco","Internet","Information Technology",89,144,116.5,178.6
"663",848,"Senior Scientist (Neuroscience)","$109K-$200K (Glassdoor est.)",3.5,"Sunovion
3.5","Marlborough","MA","Worcester","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",109,200,154.5,113.2
"664",851,"Marketing Data Analyst","$35K-$62K (Glassdoor est.)",3.6,"San Manuel Casino
3.6","Highland","CA","Riverside","Gambling","Arts, Entertainment & Recreation",35,62,48.5,116.1
"665",852,"Machine Learning Engineer - Regulatory","$61K-$113K (Glassdoor est.)",3.7,"Cboe Global Markets
3.7","Lenexa","KS","Kansas City","Stock Exchanges","Finance",61,113,87,91.6
"666",853,"Data Engineer","$55K-$105K (Glassdoor est.)",3.4,"Trace3
3.4","Houston","TX","Houston","IT Services","Information Technology",55,105,80,95.8
"667",854,"Medical Laboratory Scientist","$18-$25 Per Hour(Glassdoor est.)",4,"Texas Health Huguley Hospital
4.0","Burleson","TX","Dallas","Health Care Services & Hospitals","Health Care",37,52,44.5,98.5
"668",855,"Principal Data Scientist","$135K-$211K (Glassdoor est.)",3.7,"Northrop Grumman
3.7","San Jose","CA","San Jose","Aerospace & Defense","Aerospace & Defense",135,211,173,173.5
"669",856,"R&D Specialist/ Food Scientist","$39K-$66K (Glassdoor est.)",2.4,"Teasdale Latin Foods
2.4","Hoopeston","IL","Danville, IL","Food & Beverage Manufacturing","Manufacturing",39,66,52.5,83.9
"670",857,"Data Engineer","$57K-$80K (Glassdoor est.)",3.5,"Saama Technologies Inc
3.5","Phoenix","AZ","Phoenix","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",57,80,68.5,104.3
"671",858,"Associate Principal Scientist, Pharmacogenomics","$63K-$127K (Glassdoor est.)",3.9,"AstraZeneca
3.9","Gaithersburg","MD","Washington","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",63,127,95,120.1
"672",859,"Data Scientist - Systems Engineering","$50K-$89K (Glassdoor est.)",3.2,"MITRE
3.2","Bedford","MA","Boston","Federal Agencies","Government",50,89,69.5,132.6
"673",860,"Senior Data Scientist","$82K-$132K (Glassdoor est.)",4.4,"The David J. Joseph Company
4.4","Cincinnati","OH","Cincinnati","Metals Brokers","Mining & Metals",82,132,107,92.4
"674",861,"Data Scientist SR","$85K-$139K (Glassdoor est.)",3.9,"The Buffalo Group
3.9","Charlottesville","VA","Charlottesville","IT Services","Information Technology",85,139,112,102.1
"675",863,"Data Scientist","$72K-$121K (Glassdoor est.)",3.4,"CompQsoft
3.4","Washington","DC","Washington","Consulting","Business Services",72,121,96.5,120.1
"676",864,"Scientist, Bacteriology","$74K-$149K (Glassdoor est.)",2.1,"Cerus Corporation
2.1","Concord","CA","San Francisco","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",74,149,111.5,178.6
"677",866,"Associate Director, Platform and DevOps- Data Engineering and Aritifical Intelligence","$113K-$196K (Glassdoor est.)",3.7,"Takeda Pharmaceuticals
3.7","Cambridge","MA","Boston","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",113,196,154.5,132.6
"678",867,"Data Scientist","$69K-$121K (Glassdoor est.)",3.4,"Remedy BPCI Partners, LLC.
3.4","New York","NY","New York","Health Care Services & Hospitals","Health Care",69,121,95,128
"679",868,"Data Scientist","$71K-$124K (Glassdoor est.)",4,"Strategic Financial Solutions
4.0","New York","NY","New York","Consumer Product Rental","Consumer Services",71,124,97.5,128
"680",869,"Senior Data Scientist","$97K-$160K (Glassdoor est.)",4.4,"Maven Wave Partners
4.4","Chicago","IL","Chicago","Consulting","Business Services",97,160,128.5,100.1
"681",870,"Senior Research Scientist-Machine Learning","$81K-$167K (Glassdoor est.)",2.6,"Software Engineering Institute
2.6","Pittsburgh","PA","Pittsburgh","Colleges & Universities","Education",81,167,124,93.1
"682",871,"Principal Data Scientist","$150K-$238K (Glassdoor est.)",3.2,"The Climate Corporation
3.2","San Francisco","CA","San Francisco","Enterprise Software & Network Solutions","Information Technology",150,238,194,178.6
"683",875,"Clinical Laboratory Scientist","$24-$39 Per Hour(Glassdoor est.)",3.7,"Vail Health
3.7","Vail","CO","Glenwood Springs","Health Care Services & Hospitals","Health Care",49,81,65,127.8
"684",877,"Data Analyst 1, full-time contract worker for up to 12 months","$35K-$65K (Glassdoor est.)",4.2,"The Church of Jesus Christ of Latter-day Saints
4.2","Salt Lake City","UT","Salt Lake City","Religious Organizations","Non-Profit",35,65,50,105.9
"685",878,"Data Scientist","$77K-$132K (Glassdoor est.)",3.5,"Crossix Solutions
3.5","New York","NY","New York","Advertising & Marketing","Business Services",77,132,104.5,128
"686",879,"Data Scientist","$51K-$88K (Glassdoor est.)",4.3,"Solugenix Corporation
4.3","Phoenix","AZ","Phoenix","IT Services","Information Technology",51,88,69.5,104.3
"687",880,"Data Scientist","$101K-$141K (Glassdoor est.)",2.6,"West Coast University
2.6","Irvine","CA","Los Angeles","Colleges & Universities","Education",101,141,121,140.6
"688",881,"Data Engineer - Consultant (Charlotte Based)","$59K-$112K (Glassdoor est.)",4.2,"Clarity Insights
4.2","Charlotte","NC","Charlotte","IT Services","Information Technology",59,112,85.5,97.9
"689",883,"Data Engineer","$79K-$147K (Glassdoor est.)",3.1,"NCSOFT
3.1","Aliso Viejo","CA","Los Angeles","Video Games","Media",79,147,113,140.6
"690",884,"Data Scientist (Warehouse Automation)","$79K-$127K (Glassdoor est.)",3.8,"SoftBank Robotics
3.8","San Francisco","CA","San Francisco","Consumer Products Manufacturing","Manufacturing",79,127,103,178.6
"691",886,"Scientist, Immuno-Oncology","$62K-$119K (Glassdoor est.)",3.9,"GSK
3.9","Cambridge","MA","Boston","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",62,119,90.5,132.6
"692",887,"Senior Data Scientist","$119K-$187K (Glassdoor est.)",4.3,"Factual
4.3","Los Angeles","CA","Los Angeles","Computer Hardware & Software","Information Technology",119,187,153,140.6
"693",892,"Jr. Data Scientist","$81K-$132K (Glassdoor est.)",3.2,"MITRE
3.2","McLean","VA","Washington","Federal Agencies","Government",81,132,106.5,120.1
"694",893,"Senior Data Scientist","Employer Provided Salary:$120K-$140K",5,"SkySync
5.0","Ann Arbor","MI","Ann Arbor","Computer Hardware & Software","Information Technology",120,140,130,99.3
"695",895,"Products Data Analyst II","$90K-$157K (Glassdoor est.)",3.3,"TriNet
3.3","Dublin","CA","San Jose","Consulting","Business Services",90,157,123.5,173.5
"696",896,"Data Architect / Data Modeler","$63K-$110K (Glassdoor est.)",4.3,"Medidata Solutions
4.3","New York","NY","New York","Enterprise Software & Network Solutions","Information Technology",63,110,86.5,128
"697",897,"Analytics Manager - Data Mart","$42K-$86K (Glassdoor est.)",3.5,"Central California Alliance for Health
3.5","Scotts Valley","CA","Santa Cruz","Health Care Services & Hospitals","Health Care",42,86,64,163.9
"698",898,"Lead Data Analyst","$32K-$62K (Glassdoor est.)",3.9,"Signpost
3.9","New York","NY","New York","Internet","Information Technology",32,62,47,128
"699",899,"Data Science Engineer - Mobile","$116K-$208K (Glassdoor est.)",4,"Adobe
4.0","San Jose","CA","San Jose","Computer Hardware & Software","Information Technology",116,208,162,173.5
"700",900,"Senior Data Scientist Oncology","$107K-$173K (Glassdoor est.)",3.9,"AstraZeneca
3.9","Gaithersburg","MD","Washington","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",107,173,140,120.1
"701",901,"Data Scientist","$65K-$113K (Glassdoor est.)",3.4,"DatamanUSA, LLC
3.4","Olympia","WA","Olympia","IT Services","Information Technology",65,113,89,110.9
"702",902,"Sr. Data Engineer - Contract-to-Hire (Java)","$69K-$127K (Glassdoor est.)",3,"Pilot Flying J Travel Centers LLC
3.0","Knoxville","TN","Knoxville","Gas Stations","Retail",69,127,98,91.6
"703",904,"Senior Data Scientist - R&D Oncology","$102K-$172K (Glassdoor est.)",3.9,"AstraZeneca
3.9","New York","NY","New York","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",102,172,137,128
"704",907,"Data Engineer","$74K-$124K (Glassdoor est.)",4,"Pinnacol Assurance
4.0","Denver","CO","Denver","Insurance Carriers","Insurance",74,124,99,112.1
"705",909,"Food Scientist - Developer","$40K-$68K (Glassdoor est.)",3.3,"Palermo's Pizza
3.3","Milwaukee","WI","Milwaukee","Food & Beverage Manufacturing","Manufacturing",40,68,54,93.8
"706",910,"Senior Data Engineer","$76K-$142K (Glassdoor est.)",3.2,"Equian LLC
3.2","Franklin","TN","Nashville","Health Care Services & Hospitals","Health Care",76,142,109,100.1
"707",911,"Data Engineer","$76K-$142K (Glassdoor est.)",3.4,"MetroStar Systems
3.4","Rockville","MD","Washington","IT Services","Information Technology",76,142,109,120.1
"708",912,"Senior Data Scientist","$108K-$171K (Glassdoor est.)",4.4,"MathWorks
4.4","Natick","MA","Boston","Computer Hardware & Software","Information Technology",108,171,139.5,132.6
"709",913,"Director II, Data Science - GRM Actuarial","$202K-$306K (Glassdoor est.)",3.3,"Liberty Mutual Insurance
3.3","Chicago","IL","Chicago","Insurance Carriers","Insurance",202,306,254,100.1
"710",914,"Machine Learning Engineer","$91K-$159K (Glassdoor est.)",3.2,"Information Builders
3.2","New York","NY","New York","Computer Hardware & Software","Information Technology",91,159,125,128
"711",916,"Sr Expert Data Science, Advanced Visual Analytics (Associate level)","$80K-$133K (Glassdoor est.)",3.8,"Novartis
3.8","Cambridge","MA","Boston","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",80,133,106.5,132.6
"712",919,"MED TECH/LAB SCIENTIST- SOUTH COASTAL LAB","$21-$34 Per Hour(Glassdoor est.)",3.6,"Beebe Healthcare
3.6","Millville","DE","Salisbury","Health Care Services & Hospitals","Health Care",43,70,56.5,103.2
"713",920,"Scientist, Molecular/Cellular Biologist","$49K-$97K (Glassdoor est.)",2.9,"Audentes Therapeutics
2.9","South San Francisco","CA","San Francisco","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",49,97,73,178.6
"714",921,"Staff Scientist-Downstream Process Development","$49K-$113K (Glassdoor est.)",2.7,"Advanced BioScience Laboratories
2.7","Rockville","MD","Washington","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",49,113,81,120.1
"715",924,"Data Scientist","$96K-$161K (Glassdoor est.)",3.2,"Numeric, LLC
3.2","Philadelphia","PA","Philadelphia","Staffing & Outsourcing","Business Services",96,161,128.5,103.4
"716",926,"Scientist - Analytical Services","$65K-$134K (Glassdoor est.)",3.1,"Reynolds American
3.1","Winston-Salem","NC","Winston-Salem","Consumer Products Manufacturing","Manufacturing",65,134,99.5,91.2
"717",928,"Associate Scientist / Sr. Associate Scientist, Antibody Discovery","$59K-$125K (Glassdoor est.)",4,"23andMe
4.0","South San Francisco","CA","San Francisco","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",59,125,92,178.6
"718",929,"Associate Data Analyst- Graduate Development Program","$32K-$59K (Glassdoor est.)",3.3,"National Interstate
3.3","Richfield","OH","Cleveland, OH","Insurance Carriers","Insurance",32,59,45.5,90
"719",930,"Sr. Data Engineer","$87K-$158K (Glassdoor est.)",4.5,"Moser Consulting
4.5","Indianapolis","IN","Indianapolis","Consulting","Business Services",87,158,122.5,90.2
"720",931,"Clinical Data Analyst","$27K-$48K (Glassdoor est.)",3,"Greenway Health
3.0","Tampa","FL","Tampa","Enterprise Software & Network Solutions","Information Technology",27,48,37.5,101.4
